iter	Passed	Remaining
1023	53870	51292
1024	53929	51246
1025	53979	51190
1026	54025	51132
1027	54078	51079
1028	54131	51027
1029	54177	50969
1030	54219	50906
1031	54267	50849
1032	54310	50787
1033	54356	50728
1034	54401	50669
1035	54448	50611
1036	54494	50552
1037	54534	50488
1038	54584	50433
1039	54630	50375
1040	54676	50316
1041	54723	50259
1042	54771	50202
1043	54814	50141
1044	54866	50088
1045	54914	50031
1046	54962	49975
1047	55014	49922
1048	55068	49871
1049	55121	49819
1050	55177	49770
1051	55226	49713
1052	55271	49655
1053	55319	49598
1054	55367	49541
1055	55418	49488
1056	55467	49432
1057	55513	49374
1058	55560	49317
1059	55612	49264
1060	55662	49209
1061	55711	49154
1062	55757	49095
1063	55806	49040
1064	55854	48984
1065	55901	48927
1066	55948	48869
1067	55993	48810
1068	56044	48756
1069	56090	48699
1070	56146	48649
1071	56192	48591
1072	56237	48533
1073	56286	48477
1074	56335	48422
1075	56383	48366
1076	56432	48310
1077	56493	48265
1078	56536	48205
1079	56586	48150
1080	56648	48106
1081	56698	48052
1082	56742	47993
1083	56798	47943
1084	56840	47882
1085	56885	47823
1086	56943	47775
1087	56993	47721
1088	57056	47678
1089	57116	47632
1090	57168	47578
1091	57217	47523
1092	57281	47481
1093	57331	47426
1094	57422	47406
1095	57484	47362
1096	57539	47311
1097	57600	47265
1098	57646	47208
1099	57697	47154
1100	57744	47098
1101	57801	47048
1102	57852	46995
1103	57899	46938
1104	57951	46885
1105	57993	46825
1106	58050	46776
1107	58109	46729
1108	58154	46670
1109	58198	46611
1110	58245	46554
1111	58302	46505
1112	58353	46452
1113	58394	46390
1114	58452	46342
1115	58511	46295
1116	58560	46240
1117	58612	46187
1118	58666	46136
1119	58723	46087
1120	58777	46036
1121	58830	45984
1122	58881	45930
1123	58938	45881
1124	58995	45832
1125	59044	45777
1126	59093	45723
1127	59142	45667
1128	59195	45615
1129	59242	45559
1130	59289	45502
1131	59343	45451
1132	59399	45401
1133	59453	45350
1134	59507	45298
1135	59557	45245
1136	59604	45187
1137	59653	45133
1138	59709	45083
1139	59764	45033
1140	59811	44976
1141	59867	44926
1142	59920	44875
1143	59973	44822
1144	60021	44767
1145	60080	44719
1146	60129	44664
1147	60177	44609
1148	60223	44552
1149	60270	44495
1150	60332	44449
1151	60381	44394
1152	60433	44342
1153	60478	44284
1154	60527	44229
1155	60570	44170
1156	60615	44112
1157	60665	44058
1158	60709	44000
1159	60755	43942
1160	60797	43883
1161	60847	43829
1162	60893	43772
1163	60942	43717
1164	60989	43661
1165	61037	43605
1166	61078	43544
1167	61123	43487
1168	61175	43435
1169	61222	43378
1170	61273	43325
1171	61324	43272
1172	61372	43217
1173	61419	43161
1174	61475	43111
1175	61529	43060
1176	61588	43012
1177	61650	42967
1178	61697	42910
1179	61746	42855
1180	61789	42797
1181	61838	42742
